x,y,z
50870,50046,32250
48424,47970,38598
39522,54042,15860
23739,60907,62245
8314,33127,29648
24414,42775,40609
31508,64563,46318
9632,57034,24754
36498,16800,22831
58764,51633,6057
32192,5826,41486
38379,13645,41938
39513,61870,19878
18186,25765,405
56053,13923,59253
5447,6254,23145
10659,32219,41478
43826,35834,58567
50172,60871,40097
62013,38915,62027
4898,7917,56817
65194,21546,40543
52162,42298,19671
8059,26561,21092
41866,60715,21
13406,63994,5499
27244,11977,54511
58847,2349,17088
10577,64727,65528
29649,52513,37463
27892,39114,65020
65385,35999,44857
31637,17960,63437
45522,18061,42227
33302,7285,58115
24092,35770,62157
22191,27469,15964
36386,2121,42670
4235,35846,5610
5712,58941,36769
28503,10592,33065
19970,22941,64792
35216,31021,60045
3353,20902,15229
51427,58451,46790
35232,12909,26656
20505,5432,34105
23016,529,115
64735,7797,39479
31147,40838,3165
19947,42827,23723
6464,34358,52416
48226,36018,30167
48447,9444,26733
2739,54584,54271
7609,28385,57219
26404,29621,24113
43090,27521,60930
47601,37451,59755
5126,46671,60991
31086,49886,47644
40570,30002,53702
331,15421,11189
14869,38492,56058
26834,59537,29014
53497,2156,15005
1504,2912,53663
39446,12445,10338
56953,58182,39160
36373,50693,60057
10779,47720,55821
8628,17775,13758
57923,42341,7955
52227,14186,61075
40876,2202,4106
58031,6439,17379
53317,7938,1303
21533,1786,60373
60088,51473,54317
26132,53394,59904
13646,34012,62563
22384,15185,56755
9813,54588,5581
46213,5897,47899
8113,40460,64310
9643,5292,46162
36003,1191,21348
15541,21518,57702
26333,3109,19533
28417,51771,13038
17889,16408,62814
3904,27272,10142
56379,28330,53366
2668,43924,54267
58472,60066,65534
63228,9953,57759
33540,43751,15736
25279,16881,57858
4433,22227,22939
62323,47504,43703
50502,52500,4636
47138,13897,62557
61743,21357,36459
34942,23531,54865
45493,56318,34898
22694,44528,39272
55418,6654,23852
57901,11603,30026
53219,7862,8531
55740,35850,43403
1682,36453,38416
25465,21431,33732
31796,712,5415
56229,60296,32512
63049,27590,51039
17778,9974,25312
44655,23991,9806
889,26056,30907
31421,49060,61372
43343,20801,25714
36197,3691,58912
18712,56509,27464
38301,52051,58466
13240,15084,4284
4938,65364,7821
9771,42948,44707
42149,42212,14791
42355,51309,6981
9238,57914,21328
48300,50088,33740
21280,8450,54322
5956,6855,33127
11546,28440,34218
15760,15317,10983
52208,33367,58282
28,4191,59081
46400,63507,52998
65220,30195,32790
39075,11700,30221
31972,19574,12788
48295,53495,25429
3632,23236,12360
26935,43670,63137
42986,46288,10472
34415,7694,55529
33501,62859,30909
44911,3300,24447
13181,59294,54778
19513,24838,2752
8153,15497,46634
19756,4429,23251
26989,36167,50514
10763,56487,18892
57012,44665,51137
21797,55626,50977
48188,2861,55886
32287,4260,58868
46012,36030,53390
58878,7515,4378
15138,53407,41801
32582,59229,58897
38673,29827,42260
2430,49017,38670
57285,33175,62803
15450,35058,16624
6603,32708,46996
53876,6371,24432
2294,62561,4038
9795,40286,27657
35109,498,34113
32007,18242,49021
40760,5493,58556
15597,18029,46579
53597,56120,55658
26785,43591,8519
37832,64449,2811
22465,42593,5912
59782,39209,31599
33968,58955,64716
41734,62954,21417
19356,26257,28961
56935,362,10487
25268,61951,40732
4929,61895,3632
4219,49052,52402
54096,242,26500
57913,15707,30700
16931,3436,16523
17298,15584,11183
54375,6826,35762
33421,27641,12762
24685,18159,46707
31208,46143,51731
64860,3698,28656
13597,49922,5509
6719,24215,956
30774,11890,44395
1013,65487,7980
49663,39557,58260
61125,3009,6508
3220,24157,37888
27633,10291,17164
29397,44025,38620
3504,49290,2897
20789,38438,56521
16173,35450,473
15718,57069,48975
48143,49403,55872
4526,25733,55201
10469,62758,57357
28559,14076,32166
47235,30809,16599
63328,33139,49811
58822,40846,22029
53409,63386,1992
5470,22341,53569
39411,61945,41894
64489,30091,45804
54152,6575,11853
19642,29764,52069
44043,42761,14189
16560,12200,45931
57852,26572,26388
37554,31640,1368
11165,46998,39946
21018,13699,31844
11808,20421,63343
9908,42937,8247
53847,5751,43924
57221,9319,53151
12377,3682,26047
25964,8804,5687
62924,48248,56934
35328,63962,43097
57883,60812,51901
42115,10171,35728
14098,63317,50669
31799,49818,40760
14389,19089,10965
36555,60470,62930
50237,32385,31159
29294,20069,61832
20062,55836,52560
19154,1868,58516
12420,49213,64190
59773,45356,33460
28416,4611,46528
53681,61521,14215
34915,54566,24653
28836,64047,52554
28792,8917,38221
30775,35542,29475
30757,64124,23389
19653,2000,58568
43547,27992,21634
9128,43650,20255
53259,27658,52326
316,20888,53408
27460,6088,65266
61027,47983,25022
37427,13723,55568
34763,16562,31761
29730,13436,22881
12325,24473,426
52140,3180,64753
9051,13050,59194
56730,31915,63867
22593,41016,33130
392,25133,44366
59781,28146,19110
4224,29815,23969
6208,50946,32580
35934,34352,40761
60356,4215,58038
2136,59648,41992
28832,695,5933
40887,57568,37099
57535,29255,35228
45885,53594,41435
16940,23704,495
22850,33967,36012
42428,38803,50148
17863,47768,26026
16992,10058,187
62211,10486,20886
61509,29060,2245
21658,3024,35566
42538,38129,26968
12905,35975,40917
2164,21819,61444
9697,47561,7121
3779,26953,57992
8393,19540,39307
14896,48039,33018
43491,26565,15034
47399,38227,42533
26147,9297,44630
1054,61832,60161
23984,42797,36246
21101,6413,55256
55729,23041,24949
2178,58635,27088
32897,27018,53619
36389,14552,36264
27931,41665,50608
45754,13638,52872
52634,2921,65328
22531,60150,59983
56807,61985,45803
19122,1815,30315
43651,52272,46768
22314,50552,39619
24884,21236,39829
52027,15677,29290
55849,41027,31113
32516,61594,59147
41648,4600,14109
17275,25060,15618
25623,12575,8230
12758,48205,30110
20706,10800,30530
37787,33192,9451
60240,37787,31559
25239,58189,16791
59857,44107,43920
36545,47030,61466
14941,30400,59694
5715,6050,7566
52199,65015,34099
60012,6213,45355
59347,33349,44061
5913,39853,14132
43274,42803,49728
15476,38216,47104
59052,38373,62078
13253,40439,32724
63930,25052,3575
7855,57552,56199
3399,53672,47216
43395,43932,25874
10022,15089,54003
36792,4486,24482
21681,10619,63944
5754,34984,53295
32567,55528,54397
51264,29539,24681
36622,29782,59887
11470,7099,48749
48975,32904,34134
44475,18551,54521
20918,4968,29069
52063,53279,48134
12522,57961,50955
13471,15225,3313
60061,26312,43758
9476,51594,37764
49488,61248,12777
33267,49303,31910
31627,63655,24454
10226,50092,56611
9724,51498,42767
20436,11145,49738
2295,26880,59085
39539,3969,44684
5099,893,46217
14429,58504,54477
46668,9849,54995
41224,38625,59581
54261,65462,62233
50475,16270,54592
30482,16690,28938
32049,14704,41913
44825,39074,22693
11099,64275,63539
23993,37799,59578
26654,56260,52085
7990,42929,46466
21145,50728,44789
53746,14786,8179
2196,36814,54203
44001,56237,1962
12495,8398,17625
62350,37060,47004
1623,49456,7802
40040,22673,2282
30178,30416,7807
33836,47168,41040
47684,40982,18758
49047,19676,34769
23356,4329,61662
19620,8553,45488
45035,50371,13356
31423,23028,24385
37295,33418,19817
40713,12376,12516
59421,20123,1006
44282,14387,38765
47491,19040,12784
10084,41041,33744
45913,48420,46007
63340,14465,65016
22534,39268,53172
14967,22163,31547
58164,14103,41735
11575,42852,32250
26368,57645,38598
20882,22337,15860
29854,18897,62245
30567,25801,29648
4386,8135,40609
40610,41113,46318
10443,36845,24754
41647,45792,22831
53067,43744,6057
56633,23468,41486
21008,50062,41938
42048,23553,19878
52865,63704,405
12118,3986,59253
55512,3621,23145
35791,56840,41478
1266,58911,58567
38259,48183,40097
9175,3415,62027
9435,35344,56817
9631,63188,40543
6754,21405,19671
23239,15815,21092
12978,51609,21
10790,9684,5499
8132,16000,54511
50492,27329,17088
11842,2783,65528
38164,49567,37463
1542,21212,65020
55607,19536,44857
43424,4991,63437
20630,22275,42227
5466,39788,58115
51507,47791,62157
55457,44590,15964
38270,51300,42670
8679,10209,5610
2004,46285,36769
34782,57328,33065
5042,2303,64792
22956,61199,60045
49566,29874,15229
59540,14154,46790
44876,51037,26656
20716,14261,34105
7548,6528,115
47027,64627,39479
36957,24899,3165
14243,32997,23723
19305,52752,52416
47318,38920,30167
41714,12574,26733
14300,21059,54271
10778,60517,57219
44420,63058,24113
23397,31382,60930
59477,55708,59755
6011,601,60991
9067,61757,47644
8346,38470,53702
58719,52151,11189
4431,42698,56058
2835,5945,29014
44987,32743,15005
45502,38973,53663
28246,9515,10338
43470,15863,39160
12599,43892,60057
10000,43365,55821
37784,24324,13758
36544,21673,7955
50733,16420,61075
36726,25343,4106
24656,27153,17379
20600,9232,1303
30650,1285,60373
48307,17329,54317
32881,59430,59904
19237,46665,62563
56341,18082,56755
52043,53061,5581
7466,38395,47899
32849,47825,64310
50469,50046,46162
48626,47970,21348
18501,54042,57702
53770,60907,19533
60692,33127,13038
34654,42775,62814
64432,64563,10142
62679,57034,53366
22540,16800,54267
62359,51633,65534
7175,5826,57759
28093,13645,15736
14620,61870,57858
26143,25765,22939
13150,13923,43703
14952,6254,4636
5220,32219,62557
8975,35834,36459
24408,60871,54865
49652,38915,34898
61621,7917,39272
10652,21546,23852
32226,42298,30026
1099,26561,8531
51744,60715,43403
26901,63994,38416
14730,11977,33732
21184,2349,5415
34115,64727,32512
23192,52513,51039
56801,39114,25312
37266,35999,9806
30104,17960,30907
61003,18061,61372
44466,7285,25714
15366,35770,58912
64010,27469,27464
28080,2121,58466
21164,35846,4284
29058,58941,7821
12827,10592,44707
41427,22941,14791
62984,31021,6981
50497,20902,21328
29490,58451,33740
17185,12909,54322
35638,5432,33127
37951,529,34218
23059,7797,10983
33007,40838,58282
31431,42827,59081
13103,34358,52998
58775,36018,32790
31696,9444,30221
30947,54584,12788
34920,28385,25429
46484,29621,12360
7813,27521,63137
64871,37451,10472
13101,46671,55529
64823,49886,30909
27181,30002,24447
19982,15421,54778
64464,38492,2752
31447,59537,46634
30255,2156,23251
30365,2912,50514
25407,12445,18892
10579,58182,51137
23601,50693,50977
32408,47720,55886
40558,17775,58868
36618,42341,53390
23566,14186,4378
39943,2202,41801
28593,6439,58897
9956,7938,42260
39767,1786,38670
36526,51473,62803
39629,53394,16624
60620,34012,46996
55772,15185,24432
35987,54588,4038
63925,5897,27657
55743,40460,34113
25378,5292,49021
65507,1191,58556
55927,21518,46579
58789,3109,55658
54897,51771,8519
27765,16408,2811
23447,27272,5912
39349,28330,31599
55368,43924,64716
12492,60066,21417
38654,9953,28961
27117,43751,10487
16909,16881,40732
18290,22227,3632
3703,47504,52402
41608,52500,26500
7162,13897,30700
34637,21357,16523
17536,23531,11183
55563,56318,35762
45407,44528,12762
20612,6654,46707
59898,11603,51731
10865,7862,28656
10709,35850,5509
23699,36453,956
63737,21431,44395
34428,712,7980
26957,60296,58260
41995,27590,6508
49296,9974,37888
24048,23991,17164
24174,26056,38620
36368,49060,2897
58666,20801,56521
863,3691,473
44509,56509,48975
49175,52051,55872
29502,15084,55201
46434,65364,57357
27940,42948,32166
51306,42212,16599
40686,51309,49811
42764,57914,22029
50380,50088,1992
22848,8450,53569
48476,6855,41894
13347,28440,45804
41819,15317,11853
57230,33367,52069
17929,4191,14189
14017,63507,45931
47365,30195,26388
63426,11700,1368
24615,19574,39946
46279,53495,31844
5138,23236,63343
60334,43670,8247
3128,46288,43924
43695,7694,53151
20330,62859,26047
60694,3300,5687
28606,59294,56934
3412,24838,43097
36852,15497,51901
36850,4429,35728
42898,36167,50669
38382,56487,40760
63209,44665,10965
58228,55626,62930
14648,2861,31159
7007,4260,61832
11834,36030,52560
62356,7515,58516
49015,53407,64190
54587,59229,33460
47696,29827,46528
12759,49017,14215
50450,33175,24653
7777,35058,52554
42662,32708,38221
31146,6371,29475
55739,62561,23389
37474,40286,58568
56475,498,21634
40045,18242,20255
47827,5493,52326
42601,18029,53408
51770,56120,65266
13813,43591,25022
8898,64449,55568
27879,42593,31761
6393,39209,22881
33553,58955,426
18735,62954,64753
1517,26257,59194
32903,362,63867
18246,61951,33130
5686,61895,44366
41590,49052,19110
61594,242,23969
59531,15707,32580
39324,3436,40761
32664,15584,58038
52850,6826,41992
24710,27641,5933
53913,18159,37099
54246,46143,35228
63067,3698,41435
28882,49922,495
20760,24215,36012
5564,11890,50148
17300,65487,26026
48327,39557,187
37937,3009,20886
65394,24157,2245
37189,10291,35566
33575,44025,26968
17744,49290,40917
16398,38438,61444
23450,35450,7121
63045,57069,57992
29873,49403,39307
5879,25733,33018
15017,62758,15034
38037,14076,42533
25140,30809,44630
64319,33139,60161
43941,40846,36246
62862,63386,55256
26207,22341,24949
16223,61945,27088
61127,30091,53619
62708,6575,36264
33148,29764,50608
31033,42761,52872
37001,12200,65328
12260,26572,59983
19323,31640,45803
58422,46998,30315
17819,13699,46768
18975,20421,39619
62193,42937,39829
50404,5751,29290
15809,9319,31113
2337,3682,59147
43603,8804,14109
36393,48248,15618
15835,63962,8230
54785,60812,30110
38771,10171,30530
33759,63317,9451
51155,49818,31559
5788,19089,16791
60824,60470,43920
28704,32385,61466
34741,20069,59694
30722,55836,7566
27188,1868,34099
31582,49213,45355
48001,45356,44061
40716,4611,14132
17581,61521,49728
17788,54566,47104
14415,64047,62078
23467,8917,32724
44406,35542,3575
197,64124,56199
26867,2000,47216
52009,27992,25874
44745,43650,54003
56410,27658,24482
7228,20888,63944
31662,6088,53295
2691,47983,54397
21689,13723,24681
47098,16562,59887
51630,13436,48749
43955,24473,34134
20526,3180,54521
57817,13050,29069
45090,31915,48134
28944,41016,50955
29881,25133,3313
47223,28146,43758
34080,29815,37764
30728,50946,12777
9044,34352,31910
45130,4215,24454
39056,59648,56611
56659,695,42767
7920,57568,49738
36216,29255,59085
59560,53594,44684
49932,23704,46217
1337,33967,54477
52932,38803,54995
38887,47768,59581
10657,10058,62233
49874,10486,54592
45657,29060,28938
51048,3024,41913
34442,38129,22693
50157,35975,63539
9069,21819,59578
2298,47561,52085
63235,26953,46466
45140,19540,44789
8816,48039,8179
13702,26565,54203
49649,38227,1962
37925,9297,17625
36146,61832,47004
9095,42797,7802
54746,6413,2282
58403,23041,7807
42507,58635,41040
8344,27018,18758
64767,14552,34769
65452,41665,61662
58406,13638,45488
667,2921,13356
47386,60150,24385
32691,61985,19817
3970,1815,12516
53404,52272,1006
53358,50552,38765
61390,21236,12784
21064,15677,33744
3777,41027,46007
14441,61594,65016
10380,4600,53172
2782,25060,31547
41418,12575,41735
57431,48205,32250
32700,10800,38598
9522,33192,15860
41457,37787,62245
37800,58189,29648
53696,44107,40609
22323,47030,46318
30436,30400,24754
40080,6050,22831
40291,65015,6057
24822,6213,41486
42906,33349,41938
14190,39853,19878
15736,42803,405
59248,38216,59253
10376,38373,23145
14878,40439,41478
32387,25052,58567
5758,57552,40097
20471,53672,62027
60296,43932,56817
52504,15089,40543
22433,4486,19671
25478,10619,21092
25252,34984,21
53313,55528,5499
33629,29539,54511
51057,29782,17088
39995,7099,65528
2418,32904,37463
28036,18551,65020
23147,4968,44857
29041,53279,63437
31467,57961,42227
35312,15225,58115
40730,26312,62157
40781,51594,15964
50398,61248,42670
33953,49303,5610
54326,63655,36769
17756,50092,33065
45646,51498,64792
51544,11145,60045
41874,26880,15229
54750,3969,46790
46307,893,26656
51538,58504,34105
60018,9849,115
41203,38625,39479
19460,65462,3165
4584,16270,23723
31685,16690,52416
31443,14704,30167
42351,39074,26733
21334,64275,54271
39269,37799,57219
35143,56260,24113
60264,42929,60930
18199,50728,59755
49509,14786,60991
2531,36814,47644
46774,56237,53702
48361,8398,11189
657,37060,56058
12090,49456,29014
9112,22673,15005
36107,30416,53663
28726,47168,10338
33750,40982,39160
45602,19676,60057
53527,4329,55821
41856,8553,13758
43646,50371,7955
4665,23028,61075
16119,33418,4106
47941,12376,17379
25547,20123,1303
45973,14387,60373
12973,19040,54317
58677,41041,59904
367,48420,62563
37077,14465,56755
44581,39268,5581
28056,22163,47899
28204,14103,64310
39406,42852,46162
46841,57645,21348
9594,22337,57702
20338,18897,19533
36502,25801,13038
46668,8135,62814
41224,41113,10142
54261,36845,53366
50475,45792,54267
30482,43744,65534
32049,23468,57759
44825,50062,15736
11099,23553,57858
23993,63704,22939
26654,3986,43703
7990,3621,4636
21145,56840,62557
53746,58911,36459
2196,48183,54865
44001,3415,34898
12495,35344,39272
62350,63188,23852
1623,21405,30026
40040,15815,8531
30178,51609,43403
33836,9684,38416
47684,16000,33732
49047,27329,5415
23356,2783,32512
19620,49567,51039
45035,21212,25312
31423,19536,9806
37295,4991,30907
40713,22275,61372
59421,39788,25714
44282,47791,58912
47491,44590,27464
10084,51300,58466
45913,10209,4284
63340,46285,7821
22534,57328,44707
14967,2303,14791
58164,61199,6981
11575,29874,21328
26368,14154,33740
20882,51037,54322
29854,14261,33127
30567,6528,34218
4386,64627,10983
40610,24899,58282
10443,32997,59081
41647,52752,52998
53067,38920,32790
56633,12574,30221
21008,21059,12788
42048,60517,25429
52865,63058,12360
12118,31382,63137
55512,55708,10472
35791,601,55529
1266,61757,30909
38259,38470,24447
9175,52151,54778
9435,42698,2752
9631,5945,46634
6754,32743,23251
23239,38973,50514
12978,9515,18892
10790,15863,51137
8132,43892,50977
50492,43365,55886
11842,24324,58868
38164,21673,53390
1542,16420,4378
55607,25343,41801
43424,27153,58897
20630,9232,42260
5466,1285,38670
51507,17329,62803
55457,59430,16624
38270,46665,46996
8679,18082,24432
2004,53061,4038
34782,38395,27657
5042,47825,34113
22956,50046,49021
49566,47970,58556
59540,54042,46579
44876,60907,55658
20716,33127,8519
7548,42775,2811
47027,64563,5912
36957,57034,31599
14243,16800,64716
19305,51633,21417
47318,5826,28961
41714,13645,10487
14300,61870,40732
10778,25765,3632
44420,13923,52402
23397,6254,26500
59477,32219,30700
6011,35834,16523
9067,60871,11183
8346,38915,35762
58719,7917,12762
4431,21546,46707
2835,42298,51731
44987,26561,28656
45502,60715,5509
28246,63994,956
43470,11977,44395
12599,2349,7980
10000,64727,58260
37784,52513,6508
36544,39114,37888
50733,35999,17164
36726,17960,38620
24656,18061,2897
20600,7285,56521
30650,35770,473
48307,27469,48975
32881,2121,55872
19237,35846,55201
56341,58941,57357
52043,10592,32166
7466,22941,16599
32849,31021,49811
50469,20902,22029
48626,58451,1992
18501,12909,53569
53770,5432,41894
60692,529,45804
34654,7797,11853
64432,40838,52069
62679,42827,14189
22540,34358,45931
62359,36018,26388
7175,9444,1368
28093,54584,39946
14620,28385,31844
26143,29621,63343
13150,27521,8247
14952,37451,43924
5220,46671,53151
8975,49886,26047
24408,30002,5687
49652,15421,56934
61621,38492,43097
10652,59537,51901
32226,2156,35728
1099,2912,50669
51744,12445,40760
26901,58182,10965
14730,50693,62930
21184,47720,31159
34115,17775,61832
23192,42341,52560
56801,14186,58516
37266,2202,64190
30104,6439,33460
61003,7938,46528
44466,1786,14215
15366,51473,24653
64010,53394,52554
28080,34012,38221
21164,15185,29475
29058,54588,23389
12827,5897,58568
41427,40460,21634
62984,5292,20255
50497,1191,52326
29490,21518,53408
17185,3109,65266
35638,51771,25022
37951,16408,55568
23059,27272,31761
33007,28330,22881
31431,43924,426
13103,60066,64753
58775,9953,59194
31696,43751,63867
30947,16881,33130
